anime_id,Anime Name,rating
52969,"Jitsu wa Ore, Saikyou deshita?",1
40748,Jujutsu Kaisen,4
51009,Jujutsu Kaisen 2nd Season,7
5680,K-On!,9
9617,K-On! Movie,9
7791,K-On!!,9
48316,Kage no Jitsuryokusha ni Naritakute!,7
54595,Kage no Jitsuryokusha ni Naritakute! 2nd Season,6
52198,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,8
37999,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,10
43608,Kaguya-sama wa Kokurasetai: Ultra Romantic,10
40591,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,10
7054,Kaichou wa Maid-sama!,4
48675,Kakkou no Iinazuke,3
8525,Kami nomi zo Shiru Sekai,7
10080,Kami nomi zo Shiru Sekai II,7
16706,Kami nomi zo Shiru Sekai: Megami-hen,7
50869,Kami wa Game ni Ueteiru.,4
53879,Kamonohashi Ron no Kindan Suiri,7
43969,Kanojo mo Kanojo,5
53040,Kanojo mo Kanojo Season 2,6
40839,"Kanojo, Okarishimasu",6
42963,"Kanojo, Okarishimasu 2nd Season",6
53050,"Kanojo, Okarishimasu 3rd Season",7
1530,Kanon (2006),8
57217,Katsute Mahou Shoujo to Aku wa Tekitai shiteita.,9
45613,Kawaii dake ja Nai Shikimori-san,7
39326,Kawaikereba Hentai demo Suki ni Natte Kuremasu ka?,3
52990,"Keikenzumi na Kimi to, Keiken Zero na Ore ga, Otsukiai suru Hanashi.",5
55887,"Kekkon suru tte, Hontou desu ka",8
38000,Kimetsu no Yaiba,8
40456,Kimetsu no Yaiba Movie: Mugen Ressha-hen,7
55701,Kimetsu no Yaiba: Hashira Geiko-hen,7
51019,Kimetsu no Yaiba: Katanakaji no Sato-hen,7
49926,Kimetsu no Yaiba: Mugen Ressha-hen,7
47778,Kimetsu no Yaiba: Yuukaku-hen,8
6045,Kimi ni Todoke,8
9656,Kimi ni Todoke 2nd Season,7
53747,Kimi no Iro,7
54714,Kimi no Koto ga Daidaidaidaidaisuki na 100-nin no Kanojo,8
57616,Kimi no Koto ga Daidaidaidaidaisuki na 100-nin no Kanojo 2nd Season,8
32281,Kimi no Na wa.,10
36098,Kimi no Suizou wo Tabetai,8
22535,Kiseijuu: Sei no Kakuritsu,7
37475,Kishuku Gakkou no Juliet,7
33206,Kobayashi-san Chi no Maid Dragon,9
35363,"Kobayashi-san Chi no Maid Dragon: Valentine, Soshite Onsen! - Amari Kitai Shinaide Kudasai",7
28851,Koe no Katachi,9
55996,Koi wa Futago de Warikirenai,3
11887,Kokoro Connect,6
16001,Kokoro Connect: Michi Random,7
38080,Kono Oto Tomare!,6
30831,Kono Subarashii Sekai ni Shukufuku wo!,3
32937,Kono Subarashii Sekai ni Shukufuku wo! 2,3
52934,"Konyaku Haki sareta Reijou wo Hirotta Ore ga, Ikenai Koto wo Oshiekomu",7
52173,Koori Zokusei Danshi to Cool na Douryou Joshi,6
51815,Kubo-san wa Mob wo Yurusanai,5
58853,Kuroiwa Medaka ni Watashi no Kawaii ga Tsuujinai,4
11771,Kuroko no Basket,6
16894,Kuroko no Basket 2nd Season,6
24415,Kuroko no Basket 3rd Season,6
31658,Kuroko no Basket Movie 4: Last Game,5
32949,Kuzu no Honkai,3
48633,Liar Liar,7
56352,"Loop 7-kaime no Akuyaku Reijou wa, Moto Tekikoku de Jiyuu Kimama na Hanayome Seikatsu wo Mankitsu suru",6
40879,Love Live! Nijigasaki Gakuen School Idol Doukoukai,6
15051,Love Live! School Idol Project,7
19111,Love Live! School Idol Project 2nd Season,7
32526,Love Live! Sunshine!!,7
34973,Love Live! Sunshine!! 2nd Season,7
24997,Love Live! The School Idol Movie,5
56923,Lv2 kara Cheat datta Motoyuusha Kouho no Mattari Isekai Life,6
50709,Lycoris Recoil,9
39071,Machikado Mazoku,8
18115,Magi: The Kingdom of Magic,7
9756,Mahou Shoujo Madoka★Magica,8
35062,Mahoutsukai no Yome,6
40571,Majo no Tabitabi,7
57524,Make Heroine ga Oosugiru!,8
48418,"Maou Gakuin no Futekigousha II: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou Part 2",3
40496,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",5
53434,"Maou no Ore ga Dorei Elf wo Yome ni Shitanda ga, Dou Medereba Ii?",7
33487,Masamune-kun no Revenge,7
51498,Masamune-kun no Revenge R,7
52973,Megami no Café Terrace,7
32182,Mob Psycho 100,8
51179,Mushoku Tensei II: Isekai Ittara Honki Dasu,9
55888,Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2,8
39535,Mushoku Tensei: Isekai Ittara Honki Dasu,7
45576,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,7
23755,Nanatsu no Taizai,6
20,Naruto,8
1735,Naruto: Shippuuden,8
50593,"Natsu e no Tunnel, Sayonara no Deguchi",7
31404,Netoge no Yome wa Onnanoko ja Nai to Omotta?,7
10165,Nichijou,8
